1;3;2;2;FALSE;"57767";"Licença de Instalação nº 57767/2010";14/04/2010;;4;;;TRUE;223;;FALSE;
2;2;2;2;TRUE;"0315/2010";"Resposta a Carta Consulta";09/08/2010;;4;;;TRUE;;;FALSE;
3;7;2;2;FALSE;"01.10.12.035633-5";"LICENÇA DE INSTALAÇÃO";13/12/2010;13/12/2014;4;;;TRUE;226;;FALSE;
4;9;2;2;FALSE;"263/2011";"Licença de Instalação";07/07/2011;06/07/2013;4;13/03/2013;"Solicitada a renovação da Licença de Instalação nº 263/2011.";TRUE;;;FALSE;
5;43;2;2;FALSE;"06/2012";"Licença de Instalação";06/01/2012;05/01/2014;4;;;TRUE;227;;FALSE;
6;146;2;2;FALSE;"0356/10";"Implantação - 4º trecho";13/08/2010;13/08/2014;4;;;TRUE;129;;FALSE;
7;48;2;2;FALSE;"32/2011";"Licença de Instalação";29/06/2011;01/12/2015;4;;;TRUE;250;;FALSE;
8;27;2;2;FALSE;"2802011";"Reforma da pista e pátio";05/12/2011;05/12/2015;4;;;TRUE;;;FALSE;
9;26;2;2;TRUE;"754046/2010";"Certidão de Dispensa";10/11/2010;10/11/2014;4;;;TRUE;278;;FALSE;
10;201;2;2;FALSE;"087/2013";"Projeto de construção de obras d´arte especiais além de serviços de drenagem, terraplenagem, pavimentação, urbanização, paisagismo, sinalização viária, dentre outros no cruzamento das Avs. Raul Barbosa e Murilo Borges.";22/03/2013;22/03/2016;4;;;TRUE;25348;;FALSE;
11;200;2;1;FALSE;"282/2011";"Referente a localização e concepção do projeto do VLT trecho Parangaba-Mucuripe.";13/09/2011;12/09/2012;4;;;TRUE;227;;FALSE;
12;200;2;2;FALSE;"48/2012";"Renovação da licença de instalação referente VLT Parangaba-Mucuripe";24/02/2012;23/02/2013;4;;;TRUE;227;;FALSE;
17;213;2;2;FALSE;"022/2012";"Projeto de melhoria da infra-estrutura da Av. Paulino Rocha, percorrendo os Bairros Mata-Galinha, Barroso e Cajazeiras, Municipio de Fortaleza, Estado do Ceará.";18/01/2012;18/08/2014;4;;;TRUE;25348;;FALSE;
18;214;2;2;FALSE;"130/2009";"Instalação";15/10/2009;;4;;;TRUE;;;FALSE;
19;214;2;2;FALSE;"68/2011";"Renovação da licença de instalação referente a construção da rede de trem metropolitano de Fortaleza.";17/10/2011;16/10/2013;4;;;TRUE;;;FALSE;
20;146;2;2;FALSE;"0354/11";"Licença de Instalação - 5º trecho";20/05/2011;16/05/2015;4;;;TRUE;;;FALSE;
21;51;2;2;FALSE;"2028/10";"Implantação - META 1";10/03/2010;10/03/2014;4;;;TRUE;;;FALSE;
22;51;2;2;FALSE;"0372/10";"Implantação - META 2";31/08/2010;31/08/2014;4;;;TRUE;;;FALSE;
23;51;2;2;FALSE;"0226/11";"Implantação - META 3";25/04/2011;25/04/2015;4;;;TRUE;;;FALSE;
24;51;2;2;TRUE;"1568/10";"Dispensa de licença - META 4";06/04/2010;;4;;;TRUE;;;FALSE;
25;139;2;2;TRUE;"1568/10";"Dispensa de licença";06/04/2010;;4;;;TRUE;;;FALSE;
26;144;2;2;TRUE;"1568/10";"Dispensa de licença";06/04/2010;;4;;;TRUE;;;FALSE;
27;138;2;1;FALSE;"586/2010";"Prévia";28/12/2010;;4;;;TRUE;;;FALSE;
28;142;2;2;FALSE;"1883/2009";"Implantação";20/02/2009;20/02/2013;4;12/11/2012;"solicitada renovação da LI 1883/2009 e concedida por mais 4 anos";TRUE;129;;FALSE;
30;151;2;1;FALSE;"300359/2011";"Prévia";28/04/2011;;4;;;TRUE;;;FALSE;
31;151;2;2;FALSE;"59291/2011";"Instalação";28/04/2011;;4;;;TRUE;;;FALSE;
32;151;2;3;FALSE;"20/2011";"Operação";25/11/2011;;4;;;TRUE;;;FALSE;
33;150;2;2;FALSE;"17/2008";"Instalação";30/10/2008;;4;;;TRUE;;;FALSE;
35;34;2;2;TRUE;"20/2007";"Dispensa de licença";19/07/2007;;4;;;TRUE;;;FALSE;
36;35;2;2;TRUE;"20/2007";"Dispensa de licença";19/07/2007;;4;;;TRUE;;;FALSE;
37;39;2;2;TRUE;"765/2011";"Dispensa de licença";18/07/2011;;4;;;TRUE;;;FALSE;
38;37;2;2;TRUE;"765/2011";"Dispensa de licença";18/07/2011;;4;;;TRUE;;;FALSE;
39;37;2;2;TRUE;"988/2011";"Dispensa de licença";28/07/2011;;4;;;TRUE;;;FALSE;
40;22;2;2;FALSE;"129/2010";"Instalação de um Módulo Operacional Provisório – MOP e uma adequação dos atuais bolsões de estacionamento do Aeroporto Internacional de Viracopos.";29/11/2010;29/11/2011;4;;;TRUE;;;FALSE;
41;18;2;2;FALSE;"105/2011";"Licença de Instalação";28/06/2011;28/06/2013;4;25/04/2013;"Solicitada a renovação da Licença de Instalação nº 105/2011.";TRUE;;;FALSE;
44;15;2;1;FALSE;"299619/2010";"TPS - Blocos D, E e F";25/10/2010;24/10/2013;4;;;TRUE;;;FALSE;
45;32;2;2;FALSE;"1799/2008";"Licença de Instalação";21/08/2008;21/08/2011;4;;;TRUE;;;FALSE;
46;32;2;2;FALSE;"7199/2011";"Licença de Instalação";01/09/2011;01/09/2013;4;;;TRUE;;;FALSE;
47;11;2;2;FALSE;"20/2009";"Licença de Instalação";31/07/2009;31/07/2013;4;;;TRUE;;;FALSE;
48;40;2;2;FALSE;"1352/2010";"Licença de Instalação";14/12/2010;13/12/2014;4;;;TRUE;;;FALSE;
50;205;2;1;FALSE;"02.11.08.004622-6";"Licença Prévia";10/08/2011;11/08/2012;4;;;TRUE;;;FALSE;
52;205;2;2;FALSE;"01.11.10.005779-2";"Licença de Instalação Canteiro";25/10/2011;24/10/2015;4;;;TRUE;;;FALSE;
53;205;2;2;FALSE;"04.12.01.000270-5";"Supressão da Vegetação";23/01/2012;;4;;;TRUE;;;FALSE;
54;206;2;1;FALSE;"02.11.10.005604-4";"Licença Prévia";13/10/2011;12/10/2012;4;;;TRUE;;;FALSE;
55;206;2;2;FALSE;"01.11.12.006467-1";"Licença de Instalação";19/12/2011;18/12/2012;4;;;TRUE;;;FALSE;
56;206;2;2;FALSE;"01.11.12.006628-6";"Licença Instalação do Canteiro";29/12/2011;28/12/2015;4;;;TRUE;;;FALSE;
57;207;2;1;FALSE;"02.11.07.004328-0";"Licença Prévia";20/07/2011;19/07/2012;4;;;TRUE;;;FALSE;
59;207;2;2;FALSE;"01.11.12.006627-9";"Licença Instalação do Canteiro";29/12/2011;28/12/2015;4;;;TRUE;;;FALSE;
60;208;2;2;FALSE;"38.12.08.003398-7";"Execução de serviços de implantação das 2ª e 3ª etapas da Via Mangue, incluindo o elevado sobre o mangue, com extensão de 4,5 km, iniciando-se na Ponte Paulo Guerra no bairro do Pina e finalizando-se na Av. Antônio Falcão no bairro de Boa Viagem, município de Recife.";20/08/2012;23/08/2013;4;;;TRUE;405;;FALSE;
61;209;2;1;FALSE;"097/2011";"Licença Prévia";01/11/2011;01/11/2013;4;;;TRUE;;;FALSE;
62;50;2;2;FALSE;"02/0348/2010";"Licença de modificação com acréscimo de área em prédio existente.";04/11/2010;03/11/2012;4;;;TRUE;;;FALSE;
63;204;2;1;FALSE;"2896";"Licença Prévia - ETAPA 1";06/10/2010;;4;;;TRUE;;;FALSE;
64;204;2;2;FALSE;"3471";"Licença de Instalação - ETAPA 1";22/12/2010;;4;;;TRUE;;;FALSE;
65;204;2;1;FALSE;"17771";"Licença Prévia - ETAPA 2";28/09/2011;;4;;;TRUE;;;FALSE;
66;204;2;2;FALSE;"18934";"Licença de Instalação - ETAPA 2";14/02/2012;;4;;;TRUE;;;FALSE;
69;5;2;2;FALSE;"034/10-01 ";"Autorizar a implantação do Estádio";05/04/2011;29/03/2012;4;;;TRUE;;;FALSE;
70;5;2;3;FALSE;"584/09-02";"Autorizar a operação de um Aterro de Resíduos Sólidos gerados nas áreas de intervenção direta das obras da Arena da Amazônia.";19/04/2012;19/04/2013;4;;;TRUE;;;FALSE;
71;5;2;3;FALSE;"584/09-01";"Aterro de Resíduos Sólidos";01/04/2011;;4;;;TRUE;;;FALSE;
72;5;2;2;FALSE;"013/11 ";"Licença de Instalação";25/02/2011;;4;;;TRUE;;;FALSE;
73;5;2;3;FALSE;"321/10 ";"Licença - Construtora Andrade Gutierrez SA";17/08/2010;13/07/2012;4;;;TRUE;;;FALSE;
74;5;2;3;FALSE;"522/06-03";"Autoriza a fabricação de pré-moldados e artefatos de cimento, máquinas e equipamentos e transporte rodoviário de produtos derivados de petróleo para abastecimento de veículos da frota da empresa.";17/08/2010;;4;;;TRUE;;;FALSE;
75;5;2;3;FALSE;"522/06-04";"Autoriza a fabricação de pré-moldados e artefatos de cimento, máquinas e equipamentos e transporte rodoviário de produtos derivados de petróleo para abastecimento de veículos da frota da empresa.";16/08/2011;15/08/2012;4;;;TRUE;;;FALSE;
76;5;2;3;FALSE;"147/07-03 ";"Licença de Operação";24/06/2010;;4;;;TRUE;;;FALSE;
77;5;2;3;FALSE;"252/11";"Licença de operação de Estação de Tratamento de Esgoto.";26/05/2011;24/05/2012;4;;;TRUE;;;FALSE;
78;5;2;3;FALSE;"508/11";"Autorizar a operação de um aterro de resíduos sólidos gerados nas áreas de intervanção direta das obras da Arena Amazônia e do Prosamim.";26/10/2011;25/10/2012;4;;;TRUE;;;FALSE;
80;16;2;3;FALSE;"15/2010";"Licença de Operação nº 015/2010";28/09/2010;27/09/2013;4;;;TRUE;;;FALSE;
81;33;2;;TRUE;"074/2010";"Ofício nº 074/2010";24/08/2010;;4;;;TRUE;;;FALSE;
82;30;2;2;FALSE;"7199/2011";"Licença de Instalação nº 7199/2011";01/09/2011;01/09/2013;4;;;TRUE;;;FALSE;
84;42;2;2;TRUE;"5600/2010";"Ofício nº 5600/2010";16/07/2010;;4;;;TRUE;;;FALSE;
86;36;2;2;TRUE;"20/2007";"Carta FEEMA nº 20/2007";19/07/2007;;4;;;TRUE;;;FALSE;
87;186;2;1;FALSE;"139/2012";"Licença Prévia nº 139/2012";09/07/2012;09/07/2016;4;;;TRUE;;;FALSE;
88;8;2;2;FALSE;"105650/2010";"Licença de Instalação nº 105650/2010";26/11/2010;26/11/2014;4;;;TRUE;;;FALSE;
89;194;2;2;TRUE;"378/2010";"Informação Técnica Nº 378/2010 que dispensa o empreendimento de licenciamento.";07/06/2010;;4;;;TRUE;;;FALSE;
90;24;2;2;TRUE;"100000985/2011";"Ofício nº 100000985/2011 que dispensa o empreendimento de licenciamento.";18/07/2011;;4;;;TRUE;;;FALSE;
91;12;2;2;TRUE;"92862/2010";"Parecer Técnico nº 92862/2010 que dispensa o empreendimento de licenciamento.";24/11/2010;;4;;;TRUE;;;FALSE;
92;19;2;2;TRUE;"822/2007";"Ofícios nº 822/2007 que dispensa o empreendimento de licenciamento.";02/07/2007;;4;;;TRUE;;;FALSE;
93;212;2;2;FALSE;"031/2012";"Projeto de Alargamento da Av. Alberto Craveiro, percorrendo os bairros Dias MAcedo, Castelão e Mata Galinha, município de Fortaleza";27/01/2012;27/08/2014;4;;;TRUE;25348;;FALSE;
95;212;2;2;FALSE;"020/2012";"Projeto de ampliação da ponte sobre o riacho Martinho, localizada na Av. Alberto Craveiro, bairro dias macedo, municipio de Fortaleza, estado do Ceará.";18/01/2012;18/08/2014;4;;;TRUE;25348;;FALSE;
96;210;2;2;FALSE;"021/2012";"Projeto de melhoria da infra-estrutura da Av. Engenheiro Pedro Ramalho (Av. Dedé Brasil), pecorrendo os Bairros Parangaba, Itaperi, Serrinha e Castelão, Município de Fortaleza, Estado do Ceará.";18/01/2012;18/08/2014;4;;;TRUE;25348;;FALSE;
97;5;2;3;FALSE;"252/11 - 01";"Autorizar a operação de uma Estação de Tratamento de Esgoto Sanitário, no Canteiro de Obras da Arena da Amazônia.";17/07/2012;24/07/2014;4;;;TRUE;;;FALSE;
98;4;2;2;FALSE;"30/2011";"Instalação";01/01/2011;07/06/2013;4;;;TRUE;;;FALSE;
100;49;2;2;FALSE;"871/2012";"OBRAS DE INSTALAÇÃO DO PROJETO DE ALINHAMENTO DE CAIS NO PORTO ORGANIZADO DE SANTOS, TRATANDO-SE DE CONSTRUÇÃO DE 1.320 METROS DE CAIS, COM LARGURA MÉDIA DE 25 METROS, CONFORME PROJETO APRESENTADO NAS COMPLEMENTAÇÕES DO ESTUDO AMBIENTAL SIMPLIFICADO.";12/07/2012;12/07/2016;4;;;TRUE;;;FALSE;
101;160;2;1;TRUE;"001/2011";"Dispensa de Liceciamento Ambiental do Paraná";23/02/2011;23/02/2017;4;;;TRUE;;;FALSE;
102;160;2;1;FALSE;"34540";"Autorização Ambiental";24/05/2012;24/05/2013;4;;;TRUE;;;FALSE;
104;154;2;2;FALSE;"14113";"Reurbanização Av. Comendador Franco - Av. das Torres";18/04/2012;18/04/2014;4;;;TRUE;128;;FALSE;
106;162;2;1;FALSE;"34541";"Av. da Integração - Reforma e Ampliação";24/05/2012;24/05/2013;4;22/04/2013;"Renovação da autorização ambiental";TRUE;;;FALSE;
107;162;2;1;FALSE;"34541";"Ponte Rio Atuba -  Rua da Pedreira";24/05/2012;24/05/2013;4;22/04/2013;"solicitada a renovação";TRUE;12823;;FALSE;
109;157;2;2;FALSE;"12000047";"Licença Ambiental de Instalação";22/06/2012;22/06/2014;4;;;TRUE;128;;FALSE;
110;154;2;2;FALSE;"12000046";"Licença Ambiental de Instalação";22/06/2012;22/06/2014;4;;;TRUE;128;;FALSE;
111;15;2;2;FALSE;"60544/2012";"Licença de Instalação do Empreendimento";23/03/2012;23/03/2015;4;;;TRUE;;;FALSE;
112;158;2;2;FALSE;"12000018";"Licença Ambiental de Instalação";18/04/2012;18/04/2014;4;;;TRUE;128;;FALSE;
114;138;2;2;TRUE;"0151516-01/1060";"Dispensa de Licenciamento Ambiental";29/02/2012;;4;;;TRUE;;;FALSE;
115;44;2;1;FALSE;"102/11";"Licença Prévia";25/10/2011;25/10/2012;4;11/09/2012;"Renovação da LP nº 102/11";TRUE;;;FALSE;
117;45;2;2;FALSE;"2011-044125/TEC/LI-0027";"Licença de Instalação";29/07/2011;29/07/2013;4;;;TRUE;238;;FALSE;
118;2;2;2;FALSE;"015/2012";"Licença para instalação do Estádio Nacional de Brasília  - Estádio Mané Garrincha";16/04/2012;15/04/2015;4;;;TRUE;;;FALSE;
119;2;2;3;FALSE;"103/2010";"Alvará de Construção nº 103/2010 do Estádio Nacional de Brasília";18/10/2010;;4;;;TRUE;;;FALSE;
122;153;2;1;FALSE;"300918/2011";"Licença Prévia para Construção da Ponte sobre o Rio Pari";06/09/2011;05/09/2014;4;;;TRUE;223;;FALSE;
123;153;2;2;FALSE;"60069/2011";"Licença para Construção da Ponte sobre o Rio Pari";16/11/2011;15/11/2014;4;;;TRUE;223;;FALSE;
124;153;2;1;FALSE;"300520/2011";"Licença Prévia para Construção - Trincheira Mario Andreazza";03/06/2011;02/06/2014;4;;;TRUE;223;;FALSE;
125;153;2;2;FALSE;"59433/2011";"Licença de Instalação - Trincheira Mario Andreazza";03/06/2011;02/06/2014;4;;;TRUE;223;;FALSE;
126;396;2;2;FALSE;"2138";"Licença Ambiental de Instalação";17/10/2012;17/10/2018;4;;;TRUE;;;FALSE;
131;160;2;2;FALSE;"37191";"Autorização Ambiental para obras de arte";22/05/2013;22/05/2014;4;22/04/2013;"solicitado renovação da autorização ambiental anterior";TRUE;;;FALSE;
132;469;2;2;FALSE;"14113";"Licença de instalação da obra";18/04/2012;18/05/2014;4;;;TRUE;;;FALSE;
